,model,dataset,num_layers,self_loops,run,train_loss,train_acc,test_acc,time
24169,GCN,LastFMAsia,6,True,0,0.4461820125579834,0.8957206099360551,0.8845901639344262,0.3250505924224853
24170,GCN,Amazon-Ratings,6,True,0,1.3116730451583862,0.4314075737470654,0.4416088199265006,0.7552354335784912
24171,GCN,Roman-Empire,6,True,0,2.429635763168335,0.1792057363485935,0.1745366284201235,0.6459882259368896
24172,GCN,Minesweeper,6,True,0,0.4785006046295166,0.796,0.816,0.5231220722198486
24173,GCN,Planetoid: Cora,6,True,1,0.2385300993919372,0.9242843951985226,0.8671586715867159,0.2929601669311523
24174,GCN,Planetoid: CiteSeer,6,True,1,0.3494484722614288,0.8638963019443385,0.7317073170731707,0.311713695526123
24175,GCN,Planetoid: PubMed,6,True,1,0.4078001976013183,0.8534296944338785,0.8513821962972357,0.494274377822876
24176,GCN,CitationFull: DBLP,6,True,1,0.3216562569141388,0.8832286742397516,0.8532317245272368,0.8830783367156982
24177,GCN,Amazon: Computers,6,True,1,0.8906096816062927,0.5490396214159785,0.5438010393466963,2.360663890838623
24178,GCN,Amazon: Photo,6,True,1,0.5021592378616333,0.8626410086264101,0.8599867285998672,1.069692611694336
24179,GCN,Coauthor: CS,6,True,1,0.2918006777763366,0.9189963180144552,0.9162803381510772,1.088071584701538
24180,GCN,Wikipedia: Chameleon,6,True,1,1.1480852365493774,0.5126234906695939,0.4747252747252747,0.4247572422027588
24181,GCN,Wikipedia: Squirrel,6,True,1,1.4931018352508545,0.3439077144917087,0.3144230769230769,1.8878755569458008
24182,GCN,Actor,6,True,1,1.573635816574097,0.2587171052631579,0.2578947368421053,0.6334128379821777
24183,GCN,Airports: USA,6,True,1,0.9704476594924928,0.667016806722689,0.634453781512605,0.631976842880249
24184,GCN,Airports: Europe,6,True,1,1.0767706632614136,0.5768025078369906,0.4625,0.4256622791290283
24185,GCN,Airports: Brazil,6,True,1,0.9575116038322448,0.6095238095238096,0.5384615384615384,0.6363623142242432
24186,GCN,Twitch: DE,6,True,1,0.6073011159896851,0.6589892076862333,0.6305263157894737,1.5565285682678225
24187,GCN,Twitch: EN,6,True,1,0.6241719722747803,0.6776004209787757,0.6014035087719298,0.6545562744140625
24188,GCN,Twitch: RU,6,True,1,0.5032174587249756,0.7534207525655644,0.7605473204104903,0.644723653793335
24189,GCN,WebKB: Cornell,6,True,1,1.0545159578323364,0.5684931506849316,0.4054054054054054,0.7671453952789307
24190,GCN,WebKB: Texas,6,True,1,0.8980181217193604,0.7054794520547946,0.4864864864864865,0.5361008644104004
24191,GCN,WebKB: Wisconsin,6,True,1,0.9697548151016236,0.5870646766169154,0.48,0.3149406909942627
24192,GCN,LastFMAsia,6,True,1,0.4492620229721069,0.8922774225282833,0.8872131147540984,0.3232591152191162
24193,GCN,Amazon-Ratings,6,True,1,1.3302966356277466,0.4198734306420332,0.4191506737443854,0.7509090900421143
24194,GCN,Roman-Empire,6,True,1,2.3651843070983887,0.2118587975730833,0.1943954104148278,0.5088410377502441
24195,GCN,Minesweeper,6,True,1,0.4735136926174164,0.79875,0.805,0.6688528060913086
24196,GCN,Planetoid: Cora,6,True,2,0.2253448963165283,0.9270544783010156,0.8487084870848709,0.6564805507659912
24197,GCN,Planetoid: CiteSeer,6,True,2,0.3894692361354828,0.8612276019824628,0.7530487804878049,0.6157844066619873
24198,GCN,Planetoid: PubMed,6,True,2,0.3977119028568268,0.8558387219475085,0.8389551103220898,0.5693607330322266
24199,GCN,CitationFull: DBLP,6,True,2,0.3142514526844024,0.8802652931630565,0.8504092576912221,0.7210972309112549
24200,GCN,Amazon: Computers,6,True,2,0.7759813666343689,0.7488169249327271,0.7312546399406088,1.417156219482422
24201,GCN,Amazon: Photo,6,True,2,0.456294298171997,0.8171864631718646,0.8102189781021898,0.8372445106506348
24202,GCN,Coauthor: CS,6,True,2,0.2584356963634491,0.9309286785762988,0.907281156258522,1.0676753520965576
24203,GCN,Wikipedia: Chameleon,6,True,2,1.1521893739700315,0.5197585071350165,0.4461538461538462,0.5253896713256836
24204,GCN,Wikipedia: Squirrel,6,True,2,1.4761104583740234,0.3467916366258111,0.3096153846153846,1.722745656967163
24205,GCN,Actor,6,True,2,1.5741702318191528,0.2601973684210526,0.2519736842105263,0.6577572822570801
24206,GCN,Airports: USA,6,True,2,0.9273673295974731,0.6554621848739496,0.6848739495798319,0.6573848724365234
24207,GCN,Airports: Europe,6,True,2,1.0542494058609009,0.4984326018808777,0.45,0.7508094310760498
24208,GCN,Airports: Brazil,6,True,2,1.0475547313690186,0.4285714285714285,0.6153846153846154,0.4627909660339355
24209,GCN,Twitch: DE,6,True,2,0.5973308086395264,0.6758357462490129,0.6710526315789473,1.008744478225708
24210,GCN,Twitch: EN,6,True,2,0.6352927684783936,0.6693562532888967,0.6098245614035088,0.3264050483703613
24211,GCN,Twitch: RU,6,True,2,0.532599151134491,0.7559863169897377,0.750285062713797,0.4964375495910644
24212,GCN,WebKB: Cornell,6,True,2,1.1008881330490112,0.4931506849315068,0.4324324324324324,0.572803258895874
